date1,date2,price1,price2,openDate1,openDate2,closeDate1,closeDate2
2019.07.09 11:55:00,2019.07.09 18:01:00,1393.930,1400.040,2019.07.09 11:55:00,2019.07.09 13:47:00,2019.07.09 17:59:00,2019.07.09 18:01:00
2019.07.10 09:20:00,2019.07.11 04:00:00,1419.620,1427.150,2019.07.10 09:20:00,2019.07.10 15:31:00,2019.07.11 02:29:00,2019.07.11 04:00:00
2019.07.11 23:32:00,2019.07.12 10:28:00,1409.830,1412.380,2019.07.11 23:32:00,2019.07.12 01:00:00,2019.07.12 10:19:00,2019.07.12 10:28:00
2019.07.12 15:37:00,2019.07.15 01:18:00,1415.750,1419.630,2019.07.12 15:37:00,2019.07.12 16:21:00,2019.07.15 01:01:00,2019.07.15 01:18:00
2019.07.15 05:34:00,2019.07.15 12:15:00,1415.560,1417.130,2019.07.15 05:34:00,2019.07.15 06:45:00,2019.07.15 11:51:00,2019.07.15 12:15:00
2019.07.15 17:41:00,2019.07.16 01:14:00,1415.860,1418.200,2019.07.15 17:41:00,2019.07.15 18:00:00,2019.07.16 01:07:00,2019.07.16 01:14:00
2019.07.17 12:32:00,2019.07.18 01:00:00,1424.000,1429.980,2019.07.17 12:32:00,2019.07.17 16:17:00,2019.07.17 22:28:00,2019.07.18 01:00:00
2019.07.18 15:42:00,2019.07.19 01:17:00,1445.040,1452.850,2019.07.18 15:42:00,2019.07.18 18:26:00,2019.07.18 23:49:00,2019.07.19 01:17:00
2019.07.19 21:15:00,2019.07.22 08:37:00,1427.970,1430.010,2019.07.19 21:15:00,2019.07.19 21:19:00,2019.07.22 08:24:00,2019.07.22 08:37:00
2019.07.23 08:32:00,2019.07.23 17:03:00,1425.950,1430.350,2019.07.23 08:32:00,2019.07.23 10:43:00,2019.07.23 16:59:00,2019.07.23 17:03:00
2019.07.23 23:26:00,2019.07.24 17:06:00,1426.570,1429.480,2019.07.23 23:26:00,2019.07.24 04:00:00,2019.07.24 16:38:00,2019.07.24 17:06:00
2019.07.24 20:07:00,2019.07.25 14:56:00,1430.270,1433.730,2019.07.24 20:07:00,2019.07.24 20:48:00,2019.07.25 14:52:00,2019.07.25 14:56:00
2019.07.25 20:06:00,2019.07.26 16:21:00,1421.430,1424.780,2019.07.25 20:06:00,2019.07.25 20:24:00,2019.07.26 16:15:00,2019.07.26 16:21:00
2019.07.26 23:01:00,2019.07.29 04:10:00,1421.320,1424.290,2019.07.26 23:01:00,2019.07.26 23:48:00,2019.07.29 03:59:00,2019.07.29 04:10:00
2019.07.29 16:40:00,2019.07.31 16:42:00,1430.240,1434.380,2019.07.29 16:40:00,2019.07.29 16:52:00,2019.07.31 15:51:00,2019.07.31 16:42:00
2019.08.01 16:21:00,2019.08.02 01:01:00,1436.340,1446.550,2019.08.01 16:21:00,2019.08.01 17:59:00,2019.08.01 21:11:00,2019.08.02 01:01:00
2019.08.02 06:51:00,2019.08.02 10:52:00,1438.040,1440.140,2019.08.02 06:51:00,2019.08.02 08:13:00,2019.08.02 10:34:00,2019.08.02 10:52:00
2019.08.02 15:30:00,2019.08.02 20:00:00,1444.340,1447.950,2019.08.02 15:30:00,2019.08.02 15:31:00,2019.08.02 18:32:00,2019.08.02 20:00:00
2019.08.05 01:41:00,2019.08.06 03:09:00,1463.750,1474.890,2019.08.05 01:41:00,2019.08.05 04:39:00,2019.08.05 23:58:00,2019.08.06 03:09:00
2019.08.06 07:07:00,2019.08.07 04:46:00,1483.110,1490.110,2019.08.06 07:07:00,2019.08.06 14:25:00,2019.08.07 04:32:00,2019.08.07 04:46:00
2019.08.07 08:42:00,2019.08.07 17:01:00,1504.390,1510.360,2019.08.07 08:42:00,2019.08.07 09:31:00,2019.08.07 16:52:00,2019.08.07 17:01:00
2019.08.07 22:57:00,2019.08.08 03:22:00,1503.980,1506.710,2019.08.07 22:57:00,2019.08.07 23:03:00,2019.08.08 03:15:00,2019.08.08 03:22:00
