date1,date2,price1,price2,openDate1,openDate2,closeDate1,closeDate2
2019.07.09 18:01:00,2019.07.10 09:20:00,1392.420,1389.910,2019.07.09 18:01:00,2019.07.09 18:04:00,2019.07.10 09:12:00,2019.07.10 09:20:00
2019.07.11 04:00:00,2019.07.11 23:32:00,1406.230,1400.800,2019.07.11 04:00:00,2019.07.11 14:21:00,2019.07.11 23:24:00,2019.07.11 23:32:00
2019.07.12 10:28:00,2019.07.12 15:37:00,1405.800,1403.080,2019.07.12 10:28:00,2019.07.12 11:39:00,2019.07.12 15:29:00,2019.07.12 15:37:00
2019.07.15 01:18:00,2019.07.15 05:34:00,1411.600,1409.460,2019.07.15 01:18:00,2019.07.15 02:05:00,2019.07.15 05:29:00,2019.07.15 05:34:00
2019.07.15 12:15:00,2019.07.15 17:41:00,1409.770,1407.720,2019.07.15 12:15:00,2019.07.15 14:48:00,2019.07.15 17:37:00,2019.07.15 17:41:00
2019.07.16 01:14:00,2019.07.17 12:32:00,1403.880,1400.110,2019.07.16 01:14:00,2019.07.16 04:00:00,2019.07.17 11:02:00,2019.07.17 12:32:00
2019.07.18 01:00:00,2019.07.18 15:42:00,1417.830,1414.550,2019.07.18 01:00:00,2019.07.18 02:50:00,2019.07.18 15:39:00,2019.07.18 15:42:00
2019.07.19 01:17:00,2019.07.19 21:15:00,1426.920,1420.180,2019.07.19 01:17:00,2019.07.19 01:22:00,2019.07.19 21:07:00,2019.07.19 21:15:00
2019.07.22 08:37:00,2019.07.23 08:32:00,1417.550,1414.210,2019.07.22 08:37:00,2019.07.22 09:15:00,2019.07.23 07:35:00,2019.07.23 08:32:00
2019.07.23 17:03:00,2019.07.23 23:26:00,1418.980,1415.990,2019.07.23 17:03:00,2019.07.23 17:43:00,2019.07.23 22:03:00,2019.07.23 23:26:00
2019.07.24 17:06:00,2019.07.24 20:07:00,1422.290,1420.480,2019.07.24 17:06:00,2019.07.24 17:10:00,2019.07.24 20:01:00,2019.07.24 20:07:00
2019.07.25 14:56:00,2019.07.25 20:06:00,1416.400,1411.090,2019.07.25 14:56:00,2019.07.25 15:34:00,2019.07.25 19:44:00,2019.07.25 20:06:00
2019.07.26 16:21:00,2019.07.26 23:01:00,1418.260,1416.330,2019.07.26 16:21:00,2019.07.26 16:33:00,2019.07.26 22:17:00,2019.07.26 23:01:00
2019.07.29 04:10:00,2019.07.29 16:40:00,1421.640,1414.790,2019.07.29 04:10:00,2019.07.29 06:10:00,2019.07.29 16:39:00,2019.07.29 16:40:00
2019.07.31 16:42:00,2019.08.01 16:21:00,1407.450,1400.490,2019.07.31 16:42:00,2019.07.31 19:22:00,2019.08.01 13:58:00,2019.08.01 16:21:00
2019.08.02 01:01:00,2019.08.02 06:51:00,1433.570,1430.320,2019.08.02 01:01:00,2019.08.02 01:17:00,2019.08.02 04:24:00,2019.08.02 06:51:00
2019.08.02 10:52:00,2019.08.02 15:30:00,1436.250,1431.620,2019.08.02 10:52:00,2019.08.02 11:29:00,2019.08.02 15:29:00,2019.08.02 15:30:00
2019.08.02 20:00:00,2019.08.05 01:41:00,1439.520,1436.750,2019.08.02 20:00:00,2019.08.02 20:27:00,2019.08.05 01:34:00,2019.08.05 01:41:00
2019.08.06 03:09:00,2019.08.06 07:07:00,1460.760,1456.360,2019.08.06 03:09:00,2019.08.06 04:00:00,2019.08.06 06:59:00,2019.08.06 07:07:00
2019.08.07 04:46:00,2019.08.07 08:42:00,1483.070,1481.240,2019.08.07 04:46:00,2019.08.07 04:52:00,2019.08.07 08:35:00,2019.08.07 08:42:00
2019.08.07 17:01:00,2019.08.07 22:57:00,1497.500,1493.890,2019.08.07 17:01:00,2019.08.07 17:04:00,2019.08.07 22:52:00,2019.08.07 22:57:00
2019.08.08 03:22:00,2019.08.08 04:36:00,1497.540,1491.700,2019.08.08 03:22:00,2019.08.08 03:46:00,2019.08.08 04:33:00,2019.08.08 04:36:00
